year;number;error
2018;79;Error: Request failed with status code 404
2018;92;Error: Request failed with status code 500
2018;93;Error: Request failed with status code 500
2018;1711;Error: Request failed with status code 404
2018;1803;Error: Request failed with status code 404
2018;1866;Error: Request failed with status code 404
2018;1867;Error: Request failed with status code 404
2018;1868;Error: Request failed with status code 404
2018;1869;Error: Request failed with status code 404
2018;1870;Error: Request failed with status code 404
2018;1887;Error: Request failed with status code 404
2018;1888;Error: Request failed with status code 404
2018;1889;Error: Request failed with status code 404
2018;1890;Error: Request failed with status code 404
2018;1891;Error: Request failed with status code 404
2018;1892;Error: Request failed with status code 404
2018;1893;Error: Request failed with status code 404
2018;1894;Error: Request failed with status code 404
2018;1895;Error: Request failed with status code 404
