year;number;error
2013;1284;Error: Request failed with status code 404
2013;1505;Error: Request failed with status code 404
2014;206;Error: Request failed with status code 404
2014;353;Error: Request failed with status code 404
2014;454;Error: Request failed with status code 404
2014;463;Error: Request failed with status code 404
2014;520;Error: Request failed with status code 404
2014;575;Error: Request failed with status code 404
2014;827;Error: Request failed with status code 404
2014;910;Error: Request failed with status code 404
2014;1151;Error: Request failed with status code 404
2014;1267;Error: Request failed with status code 404
2014;1354;Error: Request failed with status code 404
2014;1387;Error: Request failed with status code 404
2015;196;Error: Request failed with status code 404
2015;197;Error: Request failed with status code 404
2015;195;Error: Request failed with status code 404
2015;259;Error: Request failed with status code 404
2015;258;Error: Request failed with status code 404
2015;422;Error: Request failed with status code 404
2015;731;Error: Request failed with status code 404
2015;825;Error: Request failed with status code 404
2015;1073;Error: Request failed with status code 404
2015;1330;Error: Request failed with status code 404
2015;1423;Error: Request failed with status code 404
2015;1452;Error: Request failed with status code 404
