year;index;address
2013;1045;construire;LOC UNIFAM S+P+M,AMEN. EXT
2013;1046;amplasare;AMPLASARE ASCENSOR PENTRU URGENTE-PAVILION 2
2013;1047;construire,amenajare;CASÃ DE VACANTA CU REGIM DE ÎNÃLŢIME P+M, AMENAJARI EXTERIOARE.
2013;1048;bransare;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R.
2013;1049;bransare;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R.
2013;1050;bransare;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R.
2013;1051;bransare;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R.
2013;1052;bransare;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R
2013;1053;bransare;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R.
2013;1054;bransare;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R.
2013;1055;bransare;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R.
2013;1056;bransare;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R.
2013;1057;bransare;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R.
2013;1058;bransare;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R.
2013;1059;bransare;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R.
2013;1060;bransare;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R.
2013;1061;bransare;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R
2013;1062;bransare;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R.
2013;1063;construire,extindere;CONSTRUIRE BALCON INCHIS LA APARTAMENT
2013;1064;bransare;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R.
2013;1065;modificare solutie;CONT CU MODIF SOL C-TIVA AUT CU A.C. nr.167/19.02.2009 PT LUCRARI DE CONSTR CASÃ UNIFAM CU REGIM DE ÎNÃLŢIME D+P+E, AM EXT.  Lucrarile au fost incepute in baza A.C. nr.1509/26.08.1998. Modificarile constau in: modificare solutie acoperis, din sarpanta lemn cu invelitoare tigla in acoperis terasa.
2013;1066;construire,continuare lucrari,amenajare;CONTINUARE FARA MODIFICARE SOLUTIE CONSTRUCTIVA AUTORIZATA CU A.C. nr.803/14.07.2010 LUCRARI DE CONSTRUIRE CASÃ UNIFAMILIALÃ CU REGIM DE ÎNÃLŢIME S+P+M ŞI AMENAJARI EXTERIOARE.
2013;1067;construire,extindere,etajare,modificari interioare,amenajare;RECOMPARTIMENTARE, EXTINDERE SI ETAJARE CONSTRUCTIE EXISTENTA SI TRANSFORMARE IN CASA UNIFAMILIALÃ, CONSTRUIRE GARAJ SEMIINGROPAT PE ACELASI AMPLASAMENT AL FOSTULUI CORP II, REFACERE IMPREJMUIRE, AMENAJARI EXTERIOARE.
2013;1068;construire,amenajare;CASÃ UNIFAMILIALÃ CU REGIM DE ÎNÃLŢIME D+P+M, AMENAJARI EXTERIOARE.
2013;1069;construire,extindere,modificari interioare;MODIFICARI INTERIOARE IN APARTAMENT SI CONSTRUIRE BALCON INCHIS LA PARTERUL BLOCULUI-NU S-AU EXECUTAT LUCRARILE AUTORIZATE CU a.c. nr.1153/07.07.2005
2013;1070;modificari interioare;MODIFICARI INTERIOARE IN APARTAMENT
2013;1071;extindere,etajare;EXTINDERE SI  MANSARDARE LOCUINTA FAMILIALA  D+P
2013;1072;construire;RECONSTRUIRE GARAJ SI REFACERE IMPREJMUIRE
2013;1073;amplasare;REAMPLASARE TERASA SEZONIERA IN SISTEM PROVIZORIU SI DEMONTABIL PE ACELASI AMPLASAMENT
2013;1074;amplasare;AMPLASARE FIRMA LUMINOASA  PE FATADA  IMOBILULUI, IN SISTEM PROVIZORIU SI DEMONTABIL.
2013;1075;construire,amenajare;CONSTRUIRE IMOBIL DE LOCUIT  CU  DOUA  APARTAMENTE  P+E, IMPREJMUIRE SI AMENAJARI EXTERIOARE.
2013;1076;construire;CONSTRUIRE IMOBIL DE LOCUINTE COLECTIVE MICI P+E+M-IMOBIL 2
2013;1077;construire;CONSTRUIRE 2 CASE UNIFAMILIALE CUPLATE RACORDURI UTILITATI, IMPREJMUIRE PROPRIETATE
2013;1078;construire;IMOBIL LOCUINTE COLECTIVE P+2E+M
2013;1079;construire;CONSTRUIRE DOUA LOCUINTE UNIFAMILIALE CUPLATE P+E
2013;1080;construire;CASA FAMILIALA CU DOUA APARTAMENTE P+E+Eretras
2013;1081;construire,amenajare;IMOBIL DE LOCUINTE COLECTIVE SI SPATII COMERCIALE/SERVICII, CABINETE MEDICALE LA PARTER, REGIM DE ÎNÃLŢIME 3S+P+11E, AMENAJARI EXTERIOARE.
2013;1082;reparatie,urgenta;LUCRÃRI  DE INTERVENŢIE DE PRIMÃ NECESITATE  :   ÎNTREŢINERE ŞI REPARAŢII LA ALEEA SCÃRILOR –GRUIA.
2013;1083;modernizare;MODERNIZARE STRADA RAZBOIENI
2013;1084;continuare lucrari;Continuare lucrari fara moduif.sol cu AC nr.1124 din 7.07.2006 si AC nr. 841 din 27.07.2010-casa unifamiliala D+P+M,.lUCARAILE PROPUSE.FINISAJE,REALIZARE GARAJI
2013;1085;construire,modificari interioare;MODIFICÃRI INTERIOARE ŞI  CONSTRUIRE DOUÃ  BALCOANE  ÎNCHISE  .
2013;1086;modificare solutie;MODIFICARE SOLUTIE CONSTRUCTIVA LA AC 705 DIN 08.06.2012 PENTRU IMOBIL CU FUNCTIUNE MIXTA
2013;1087;amenajare;AMENAJARE TERASA SEZONIERA IN SISTEM PROVIZORIU SI DEMONTABIL DURATA DE EXISTENTA: PANA LA 31.10.2013 INVESTITOR: CASA UNIVERSITARILOR CUI 2868439
2013;1088;construire,amenajare;CONSTRUIRE ANSAMBLU MULTIFUNCTIONAL:IMOBIL BIROURI S+P+6E+R, IMOBILE COMERT, SERVICII SI LOCUINTE COLECTIVE S+P+4E+2R, AMENAJARI EXT, IMPREJMUIRI
2013;1089;construire,amenajare;LOCUINTA UNIFAMILIALA P+Ep/Mp,IMPREJMUIRE,AMENAJARI EXTERIOARE
2013;1090;modificare solutie,amenajare;MODIF SOL C-TIVA AUT CU A.C. nr.87/23.01.2013 Pt LUCRARI DE CONSTR HALA CU SPATII FRIGORIFICE S+P+Supanta, IMPREJMUIRE PROPRIETATE. Modificarile constau in: modificare regim de inaltime in P+Supanta, coborarea cotei zero de la +322,04m  la +321,55m, modificare inchideri, compartimentare, goluri si fatade, amenajari exterioare.
2013;1091;construire,amenajare;IMOBIL DE LOCUINTE COLECTIVE CU 6 APARTAMENTE, IMPREJMUIRE ,AMENAJARI EXTERIOARE
2013;1092;construire,amenajare;IMOBIL DE LOCUINTE COLECTIVE CU 6 APARTAMENTE D+P+2E, IMPREJMUIRE, AMENAJARI EXTERIOARE.
2013;1093;etajare,amenajare;ETAJARE CASA FAMILIALA CORP C1 PARTIAL SI CORP C2, AMENAJARI EXTERIOARE.
2013;1094;construire;CASA UNIFAMILIALA Sp+P+M
2013;1095;extindere;Balcon la parterul blocului
2013;1096;construire,amenajare;CASA UNIFAMILIALA cu regimul de inaltime P+E, imprejmuirea terenului si amenajari exterioare.
2013;1097;construire,modificare solutie,amenajare;MODIF SOL CONSTRUCTIVA AUTORIZATA CU A.C.nr.1529/10.12.2012 PENTRU LUCRARI DE CONSTRUIRE DOUA LOCUINTE UNIFAMILIALE CUPLATE CU REGIM DE ÎNÃLŢIME P+E, ÎMPREJMUIRE, AMENAJARI EXTERIOARE. Modificarile constau in: modificare amplasament constructie, compartimentare interioara, goluri si fatade.
2013;1098;construire,amenajare;DOUA CASE UNIFAMILIALE CUPLATE CU REGIM DE ÎNÃLŢIME Sp+P+E, ÎMPREJMUIRE, AMENAJARI EXTERIOARE.
2013;1099;construire;CONSTRUIRE GARAJ IN INCINTA PROPRIETATII
2013;1100;amenajare;MODIFICAREA TERASELOR SITUATE LA MANSARDA (INCHIDEREA TERASEI SITUATE PE LATURA NORDICA, RESPECTIV ACOPERIREA TERASEI SITUATE PE LATURA SUDUCA), REFACEREA FINISAJELOR, AMENAJARI EXTERIOARE. Lucrarile au fost autorizate initial cu A.C. nr.659/07.06.2012.
2013;1101;etajare,amenajare;REAMENAJARE SI MANSARDARE PARTIALA CASÃ UNIFAMILIALÃ, AMENAJARI EXTERIOARE.
2013;1102;construire,amenajare;CASÃ UNIFAMILIALÃ CU REGIM DE ÎNÃLŢIME P+2E, ÎMPREJMUIRE, AMENAJARI EXTERIOARE.
2013;1103;modificare solutie,continuare lucrari;CONTINUARE LUCRARI CU MODIFICARE SOLUTIE CONSTRUCTIVA LA AC 595/29.05.2012-LOCUINTA FAMILIALA CU 2 APARTAMENTE P+E+Mp-CORP C1 Modificari: readaptarea la teren fara modificarea cotei +0.00, executarea unui demisol cu 2 graje, modificarea accesului pietonal in cladire, si executarea a 2 accese auto la demisol
2013;1104;amenajare;INTRARE ÎN LEGALITATE  CONFORM P.V.C.S.C nr. 950 din 01.02.2013 - LOCUINŢÃ UNIFAMILIALÃ D+P+M     , ÎMPREJMUIRE TEREN  , MICROSTAŢIE DE EPURARE ŞI  AMENAJARI EXTERIOARE  .
2013;1105;modificare solutie;MODIFICARE SOLUTIE CONSTRUCTIVA PENTRU DOUA CASE UNIFAMILIALE D+P+M CU AC 1278 DIN 13.09.2004 SI AC 1025 DIN 24.08.2010
2013;1106;construire;IMOBIL DE LOCUINTE COLECTIVE CU TREI APARTAMENTE D+P+2E
2013;1107;continuare lucrari,amenajare;CONTINUAREA LUCRARILOR FARA MODIFICAREA SOLUTIEI CONSTRUCTIVE LA SEDIU FIRMA S+D+P+3E-A.C.INITIALA NR.1436/01.09.2008 SI AMENAJARI EXTERIOARE
2013;1108;urgenta,consolidare;LUCRARI DE INTERVENTIE IN PRIMA URGENTA: CONSOLIDARE APARTAMENT NR.4.
2013;1109;extindere,etajare,amenajare;REAMENAJARE, EXTINDERE SI ETAJARE CASÃ EXISTENTA, REFACERE ÎMPREJMUIRE, AMENAJARI EXTERIOARE.
2013;1110;construire,amenajare;CASÃ UNIFAMILIALÃ CU REGIM DE ÎNÃLŢIME Sp+P+E, ÎMPREJMUIRE, AMENAJARI EXTERIOARE.
2013;1111;modificare solutie,continuare lucrari;CONTINUARE SI MODIFICARE SOLUTIE CONSTRUCTIVA PENTRU DOUA CASE P+E+M , IN SISTEM CUPLAT CU AC 694 DIN08.06.2012
2013;1112;construire;DOUA LOCUINTE CUPLATE P+E
2013;1113;construire;DOUA LOCUINTE UNIFAMILIALE P+M
2013;1114;extindere,modificari interioare,modificare solutie,schimbare destinatie;MODIFICARE SOLUTIE CONSTRUCTIVA LA AC1541/04.11.2009-RECOMPARTIMENTARI INTERIOARE SI SCHIMBARE DE DESTINATIE DIN LOCUINTA IN PENSIUNE SI RESTAURANT-REGIM DE INALTIME D+P+E+M Modificari:modificari interioare si extindere imobil cu un corp D+P pe latura sudica si cu un corp prter pe latura vestica
2013;1115;amplasare;AMPLASARE FIRMA LUMINOASA PE FATADA. Durata de existenta: pe perioada Contractului de locatiune nr.470030/01.10.2012. In urmatoarele conditii: firma se va realiza fara lumina intermitenta.
2013;1116;construire,continuare lucrari,amenajare;CONTINUARE FARA MODIFICARE SOLUTIE CONSTRUCTIVA AUTORIZATA CU A.C. nr.1118/20.08.2009 PENTRU LUCRARI DE CONSTRUIRE HALA ASAMBLARE MOBILIER (Etapa I – corp C1), REGIM DE INALTIME P+E, AMENAJARI EXTERIOARE.
2013;1117;construire,etajare,reparatie,amenajare;REPARATII CAPITALE, REAMENAJARE SI MANSARDARE CASA UNIFAMILIALA CU REGIM FINAL DE INALTIME D+P+M, CONSTRUIRE ANEXA DE GRADINA PARTER SI REFACERE IMPREJMUIRE LA FRONTUL STRAZII CU CREARE ACCES AUTO SI PIETONAL
2013;1118;amenajare;AMENAJARE TERASa SEZONIERA IN SISTEM PROVIZORIU SI DEMONTABIL DURATA DE EXISTENTA: PANA LA 31.10.2013 INVESTITOR: SC MCM UNIVERS CUI 31509579
2013;1119;construire,amenajare;IMOBIL LOCUINTE COLECTIVE CU SASE APARTAMENTE D+P+2E, IMPREJMUIRE SI AMENAJARI EXTERIOARE
2013;1120;construire,amenajare;CONSTRUIRE CASA FAMILIALA CU REGIM DE INALTIME P+E, AMENAJARI EXTERIOARE  .
2013;1121;reabilitare termica;TERMOIZOLARE FATADA
2013;1122;extindere,etajare,continuare lucrari,consolidare,amenajare;CONTINUARE DE LUCRARI AUTORIZATE CU A.C. NR.728 DIN 29.06.2010 - CONSOLIDARE, EXTINDERE SI MANSARDARE CASA UNIFAMILIALA – REGIM FINAL DE INALTIME S+P+M, CHIOSC DE GRADINA, AMENAJARI EXTERIOARE, IMPREJMUIRE PROPRIETATE .
2013;1123;construire,amenajare;CASA UNIFAMILIALA cu reg. P+M ,imprejmuirea terenului si amenajari exterioare
2013;1124;construire;Magazie si bucatarie de vara cu regimul parter
2013;1125;construire,extindere,etajare,continuare lucrari,amplasare;CONTINUARE LUCRARI FARA MODIFICARE SOLUTIE CONSTRUCTIVA LA AC 477/06.05.2010-EXTINDERE SI MANSARDARE CASa UNIFAMILIALA Sp+P+M, CONSTRUIRE GARAJ Continuare lucrai:montare tamplarii, finisaje interioare si exterioare
2013;1126;bransare;BRASAMENT GAZE NATURALE DE PRESIUNE REDUSA (in montaj subteran) si P.R.
2013;1127;modificari interioare;SCHIMBARE DE FUNCTIUNE DIN BIROU IN LOCUINTA UNIFAMILIALA LA IMOBIL CU REGIM DE INALTIME Sp+P+M, MODIFICARI INTERIOARE
2013;1128;modificare solutie;MODIFICARE SOLUTIE CONSTRUCTIVA AUTORIZATA PENTRU LOCUINTA UNIFAMILIALA Sp+P+E CU AC 1234 DIN 08.09.2009
2013;1129;modificare solutie,amenajare;MODIFICARE SOLUTIE CONSTRUCTIVA AUTORIZATA INITIAL CU AC 1177 DIN 20.09.2012 PENTRU AMENAJARE ACCES LA SUBSOL
2013;1130;bransare;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R.
2013;1131;bransare;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R.
2013;1132;bransare;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R.
2013;1133;bransare;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R.
2013;1134;bransare;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R.
2013;1135;bransare;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R.
