year;index;address
2014;1;REPARATII CAPITALE CENTRALA TERMICA
2014;2;STAŢIE DE POMPARE APÃ POTABILÃ la extinderea reţelei de apă potabilă din str. Donath .
2014;3;ÎMPREJMUIRE  TEREN PROPRIETATE PRIVATÃ  LA FRONTUL STRADAL – parţial .
2014;4;IMPREJMUIRE  TEREN PROPRIETATE PRIVATÃ  LA FRONTUL STRADAL – parţial .
2014;5;MODIFICARE SOLUTIE CONSTRUCTIVA AUTORIZATA INITIAL CU AC 816/2006 , CONFORM SENTINTEI CIVILE NR.11359/2012
2014;6;PATRU LOCUINTE UNIFAMILIALE INSIRUITE P+E
2014;7;EXTINDERE SI MANSARDARE CASÃ UNIFAMILIALÃ CU REGIM FINAL DE ÎNÃLŢIME Sp+P+M, AMENAJARI EXTERIOARE.
2014;8;MODIFICARI INTERIOARE, IMPARTIRE APARTAMENT 12 IN DOUA APARTAMENTE SI DESCHIDERE ACCES SUPLIMENTAR DIN CORIDORUL EXTERIOR
2014;9;MONTAREA  UNEI    FIRME LUMINOASE  ŞI A UNEI FIRME NELUMINOASE    ÎN SISTEM PROVIZORIU ŞI DEMONTABIL  pe durata existenţei  contractului de comodat  .
2014;10;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R.
2014;11;CONSOLIDARE IMOBIL (SPATIU COMERCIAL), REFATADIZARE SI REFACERE ACOPERIS
2014;12;RECOMPARTIMENTARE INTERIOARA, MODIFICARE SARPANTA, REFATADIZARE APARTAMENT.
2014;13;MANSARDARE IMOBIL AP.3 CORP 2
2014;14;MODERNIZARE STR LIVEZENI
2014;15;ÎMPREJMUIRE  TEREN PROPRIETATE PRIVATÃ ÎN SISTEM PROVIZORIU ŞI DEMONTABIL PE O DURATÃ DE 5 ANI.
2014;16;MONTAREA  UNEI    FIRME LUMINOASE       ÎN SISTEM PROVIZORIU ŞI DEMONTABIL  pe durata existenţei   spaţiului comercial. .
2014;17;ÎNLOCUIRE   FIRME LUMINOASE   ÎN SISTEM PROVIZORIU ŞI DEMONTABIL  pe durata existenţei   spaţiului comercial.
2014;18;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R.
2014;19;REALIZARE USA DE ACCES INTRE APARTAMENTE
2014;20;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R.
2014;21;IMOBIL CU FUNCTIUNI MIXTE CU REGIM DE ÎNÃLŢIME S+P+3E, AMENAJARI EXTERIOARE.
2014;22;BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R.
2014;23;MONTAREA  UNEI    FIRME LUMINOASE     ÎN SISTEM PROVIZORIU ŞI DEMONTABIL  pe durata existenţei  contractului de închiriere .
2014;24;ÎNLOCUIRE   FIRME LUMINOASE   ÎN SISTEM PROVIZORIU ŞI DEMONTABIL  pe durata existenţei   spaţiului comercial.
2014;25;CONSTRUIRE IMOBIL MIXT CU REGIM DE INALTIME P+M, AMENAJARI EXTERIOARE
2014;26;REAMENAJARE SI EXTINDERE PE VERTICALA CASA EXISTENTA CU MODIFICARE REGIM DE INALTIME DE LA D+P+M LA D+P+E+M, AMENAJARI EXTERIOARE
2014;27;CONSTRUIRE CASA UNIFAMILIALA CU REGIM DE INALTIME P+M, IMPREJMUIRE SI AMENAJARI EXTERIOARE  .
2014;28;SUPRAETAJARE, MANSARDARE SI REABILITARE CAMIN DE NEFAMILISTI P+2E+M
2014;29;CONSOLIDARE, IZOLARE TERMICA SI REPARATII SARPANTA LA CORP C3; SCHIMBARE DE DESTINATIE DIN LOCUINTA IN SPATIU COMERCIAL
2014;30;CONSOLIDARE IMOBIL DE LOCUIT SI AMENAJAREA PODULUi EXISTENT, AMENAJARI EXTERIOARE
2014;31;EXTINDERE,AMENAJARI INTERIOARE,ETAJARE SI MANSARDARE IMOBIL EXISTENT PENTRU REALIZARE DOUA UNITATI LOCATIVE -regimul de inaltime P+E+M
