year;index;data-afisare;data-creare;data-cerere;nr.cerere;regim-h;actiune;tip-lucrari;adresa;titlu
2016;1;4-01-2016;04-01-2016;462620;14-12-2015;;urgenta,consolidare;;"judetul Cluj, NAPOCA NR.1";"LUCRĂRI  DE INTERVENŢIE DE PRIMĂ NECESITATE   PRIN CONSOLIDAREA /REPARAREA ELEMENTELE STRUCTURALE/NESTRUCTURALE ALE CONSTRUCȚIEI EXISTENTE  - cu privire la  fațadele  clădirii existente ."
2016;2;4-01-2016;04-01-2016;443911;27-11-2015;PARTER;modificari interioare,modificare solutie,continuare lucrari;;"judetul Cluj, Cale Someseni, nr. 4A";"CONTINUARE LUCRARI CU MODIFICARE SOLUTIE CONSTRUCTIVA LA AC 2081/15.11.2006-DOUA DEPOZITE PARTER Modificari: renuntare la Depozitul D2. La Depozitul D1: modificarea dimensiunilor in plan, modificari interioare, modificari de goluri pe fatade, coborarea cotei coamei si cornisei"
2016;3;4-01-2016;04-01-2016;387369;20-10-2015;S+P+6E+Eretras+Etehnic,S+P+4E+Eretras;construire;birouri,comert;"judetul Cluj, Eugen Ionesco, nr. 67 pr";"MODIFICARI IN TIMPUL EXEC LA LUCR AUT CU A.C. nr.752/09.06.2008, A.C. nr.340/20.03.2013, PT CONSTR ANSAMBLU REZIDENTIAL, COMERT, BIROURI – BLOC „D” DE LOC COL CU REGIM DE INALTIME S+P+6E+Eretras+Etehnic. Modificarile propuse: modif regim de inaltime in S+P+4E+Eretras, reducere numar de ap la 67,  modificare comp  interioara si fatade – se incadreaza in limitele avizelor si acordurilor obtinute."
2016;4;4-01-2016;04-01-2016;465754;15-12-2015;;urgenta,consolidare;;"judetul Cluj, Bulevard 21 Decembrie 1989, nr. 36";"LUCRĂRI  DE INTERVENŢIE DE PRIMĂ NECESITATE   PRIN CONSOLIDAREA /REPARAREA ELEMENTELE STRUCTURALE/NESTRUCTURALE ALE CONSTRUCȚIEI EXISTENTE  - cu privire la  fațadele  clădirii existente ."
2016;5;4-01-2016;04-01-2016;465760;15-12-2015;;urgenta,consolidare;;"judetul Cluj, 21 DECEMBRIE 1989 NR. 51";"LUCRĂRI  DE INTERVENŢIE DE PRIMĂ NECESITATE   PRIN CONSOLIDAREA /REPARAREA ELEMENTELE STRUCTURALE/NESTRUCTURALE ALE CONSTRUCȚIEI EXISTENTE  - cu privire la  fațadele  clădirii existente ."
2016;6;4-01-2016;04-01-2016;465766;15-12-2015;;urgenta,consolidare;;"judetul Cluj, 21 DECEMBRIE 1989 NR. 34";"LUCRĂRI  DE INTERVENŢIE DE PRIMĂ NECESITATE   PRIN CONSOLIDAREA /REPARAREA ELEMENTELE STRUCTURALE/NESTRUCTURALE ALE CONSTRUCȚIEI EXISTENTE  - cu privire la  fațadele  clădirii existente ."
2016;7;4-01-2016;04-01-2016;465774;15-12-2015;;urgenta,consolidare;;"judetul Cluj, B-DUL 21 DECEMBRIE 1989 NR. 32";"LUCRĂRI  DE INTERVENŢIE DE PRIMĂ NECESITATE   PRIN CONSOLIDAREA /REPARAREA ELEMENTELE STRUCTURALE/NESTRUCTURALE ALE CONSTRUCȚIEI EXISTENTE  - cu privire la  fațadele  clădirii existente ."
2016;8;4-01-2016;04-01-2016;469418;17-12-2015;;urgenta,consolidare;;"judetul Cluj, Bulevard Eroilor, nr. 35";"LUCRĂRI  DE INTERVENŢIE DE PRIMĂ NECESITATE   PRIN CONSOLIDAREA /REPARAREA ELEMENTELE STRUCTURALE/NESTRUCTURALE ALE CONSTRUCȚIEI EXISTENTE  - cu privire la  fațadele  clădirii existente ."
2016;9;4-01-2016;04-01-2016;469422;17-12-2015;;urgenta,consolidare;;"judetul Cluj, Bulevard Eroilor, nr. 17";"LUCRĂRI  DE INTERVENŢIE DE PRIMĂ NECESITATE   PRIN CONSOLIDAREA /REPARAREA ELEMENTELE STRUCTURALE/NESTRUCTURALE ALE CONSTRUCȚIEI EXISTENTE  - cu privire la  fațadele  clădirii existente ."
2016;10;4-01-2016;04-01-2016;469425;17-12-2015;;urgenta,consolidare;;"judetul Cluj, Bulevard Eroilor, nr. 21";"LUCRĂRI  DE INTERVENŢIE DE PRIMĂ NECESITATE   PRIN CONSOLIDAREA /REPARAREA ELEMENTELE STRUCTURALE/NESTRUCTURALE ALE CONSTRUCȚIEI EXISTENTE  - cu privire la  fațadele  clădirii existente ."
